,open,high,low,close,volume,value
2024-01-31 15:00:00,58979000.0,58982000.0,58978000.0,58978000.0,1.39019744,81994877.05449
2024-01-31 15:01:00,58978000.0,58980000.0,58975000.0,58975000.0,2.94778582,173852464.45621
2024-01-31 15:02:00,58975000.0,58979000.0,58975000.0,58975000.0,0.75081656,44280446.96986
2024-01-31 15:03:00,58975000.0,58975000.0,58974000.0,58975000.0,1.274743,75177725.96481
2024-01-31 15:04:00,58975000.0,58982000.0,58970000.0,58982000.0,1.60658952,94751625.35844
2024-01-31 15:05:00,58982000.0,59002000.0,58969000.0,59000000.0,0.76034685,44851024.4831
2024-01-31 15:06:00,59000000.0,59002000.0,58963000.0,59002000.0,2.13057484,125694135.95977
2024-01-31 15:07:00,58985000.0,59002000.0,58959000.0,59000000.0,1.21873207,71880558.90343
2024-01-31 15:08:00,59000000.0,59002000.0,58964000.0,58970000.0,1.43635306,84726264.0664
2024-01-31 15:09:00,58970000.0,58998000.0,58965000.0,58996000.0,0.60097458,35447295.94951
2024-01-31 15:10:00,58990000.0,58990000.0,58980000.0,58981000.0,1.38793899,81864835.64037
2024-01-31 15:11:00,58981000.0,58981000.0,58976000.0,58980000.0,0.60594366,35737381.16877
2024-01-31 15:12:00,58976000.0,58981000.0,58976000.0,58981000.0,0.35294115,20816263.25711
2024-01-31 15:13:00,58976000.0,58996000.0,58976000.0,58996000.0,0.90284294,53254280.6281
2024-01-31 15:14:00,58990000.0,59002000.0,58976000.0,59001000.0,1.12691732,66469992.37959
2024-01-31 15:15:00,59001000.0,59001000.0,58976000.0,58980000.0,1.18665428,69988335.56855
2024-01-31 15:16:00,59000000.0,59002000.0,58980000.0,59002000.0,1.024285,60429472.31059
2024-01-31 15:17:00,59002000.0,59002000.0,59000000.0,59002000.0,0.61840129,36486739.96352
2024-01-31 15:18:00,59002000.0,59005000.0,59000000.0,59002000.0,0.75514864,44555200.38118
2024-01-31 15:19:00,59002000.0,59003000.0,58995000.0,59000000.0,0.34149458,20148193.11936
2024-01-31 15:20:00,59000000.0,59012000.0,59000000.0,59012000.0,1.03033603,60791342.21247
2024-01-31 15:21:00,59020000.0,59024000.0,59000000.0,59021000.0,0.66992864,39535542.16327
2024-01-31 15:22:00,59021000.0,59025000.0,59010000.0,59012000.0,2.60427118,153702952.40657
2024-01-31 15:23:00,59010000.0,59030000.0,58986000.0,59029000.0,3.31476314,195605108.82726
2024-01-31 15:24:00,59029000.0,59030000.0,58986000.0,59030000.0,2.06600573,121946978.24823
